sample_id	family_ncbi	phylum_ncbi	comm_id	rela_fam_comm
1011238	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	5.176440306799228e-5
1011238	Fusobacteriaceae	Fusobacteriota	6	0.0016390965838496189
1011238	Hydrogenophilaceae	Pseudomonadota	6	0.08469271322458656
1011238	Lachnospiraceae	Bacillota	1	0.09166659943842931
1011238	Lachnospiraceae	Bacillota	6	0.002040007068650324
1011238	Lactobacillaceae	Bacillota	1	0.0023325771959652342
1011238	Methanobacteriaceae	Euryarchaeota	1	0.006030835621023055
1011238	Moraxellaceae	Pseudomonadota	1	7.395612319756226e-4
1011238	Mycoplasmataceae	Mycoplasmatota	1	0.003452520485448674
1011238	Odoribacteraceae	Bacteroidota	6	0.007413724635118253
1011238	Oscillospiraceae	Bacillota	1	0.022914329169695158
1011238	Oscillospiraceae	Bacillota	6	0.04303091990808187
1011238	Peptostreptococcaceae	Bacillota	1	2.8085519254687514e-4
1011238	Prevotellaceae	Bacteroidota	1	8.243043428327544e-4
1011238	Prevotellaceae	Bacteroidota	6	0.18157687172410292
1011238	Rhodospirillaceae	Pseudomonadota	6	0.01682893731081022
1011238	Rikenellaceae	Bacteroidota	6	0.26236730055061963
1011238	Selenomonadaceae	Bacillota	1	0.002282301014369938
1011238	Spirochaetaceae	Spirochaetota	6	4.19064456212686e-4
1011238	Streptococcaceae	Bacillota	1	0.010729394187771045
1011238	Succinivibrionaceae	Pseudomonadota	1	5.106518930170973e-4
1011238	Sutterellaceae	Pseudomonadota	1	0.0012005180373297285
1011238	Sutterellaceae	Pseudomonadota	6	0.08791283455658698
1011238	Tannerellaceae	Bacteroidota	6	0.0318273301423121
1011238	Veillonellaceae	Bacillota	1	0.03201430176517628
1011239	Acetobacteraceae	Pseudomonadota	6	0.0014822399437392506
1011239	Acidaminococcaceae	Bacillota	1	0.014145464986421972
1011239	Acidaminococcaceae	Bacillota	6	0.004062504167038066
1011239	Atopobiaceae	Actinomycetota	1	0.0010856298340191815
1011239	Bacteroidaceae	Bacteroidota	6	0.2749304184291249
1011239	Barnesiellaceae	Bacteroidota	6	0.010375588447128948
1011239	Bifidobacteriaceae	Actinomycetota	1	0.14629008724795775
1011239	Christensenellaceae	Bacillota	1	2.9895302448435163e-4
1011239	Clostridiaceae	Bacillota	1	0.05474155633548889
1011239	Coriobacteriaceae	Actinomycetota	1	0.036413579737073896
1011239	Coriobacteriaceae	Actinomycetota	1	0.002570807208919914
1011239	Desulfovibrionaceae	Pseudomonadota	1	0.002982726394002572
1011239	Eggerthellaceae	Actinomycetota	1	0.009049101433024382
1011239	Erysipelotrichaceae	Bacillota	1	0.01509508326192906
1011239	Eubacteriaceae	Bacillota	1	0.026379067029065374
1011239	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	4.487059654078016e-4
1011239	Fusobacteriaceae	Fusobacteriota	6	0.008200594228704611
1011239	Hydrogenophilaceae	Pseudomonadota	6	0.002598379483856628
1011239	Lachnospiraceae	Bacillota	1	0.15089767978087218
